证券代码,证券简称,"广告宣传推广费(销售费用)
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2018年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2019年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2020年报
[报表类型] 合并报表
[单位] 元","所属证监会行业名称
[交易日期] 最新收盘日
[行业级别] 门类行业"
002319.SZ,乐通股份,,"733,017.1200","572,685.2100","288,516.6900","67,941.0300","1,163,531.5800","276,967.9700","769,585.9100","11,650.4900",0.0000,制造业
002320.SZ,海峡股份,,,,"303,308.9200","1,014,352.9500","589,377.3600","1,315,210.1200","1,130,516.6900","2,201,304.2400","749,591.2200",交通运输、仓储和邮政业
002321.SZ,*ST华英,,"4,256,711.8600","7,776,905.0700","5,140,776.0400","6,100,601.8000","5,537,906.9000","5,191,186.3400","6,155,080.4600",,"2,416,533.3200",农、林、牧、渔业
002322.SZ,理工环科,,"537,873.0900","426,129.4800",,,,,,,,信息传输、软件和信息技术服务业
002323.SZ,*ST雅博,,"126,600.0000","803,455.6600","70,000.0000","428,163.4900","1,250,875.2900","1,249,788.5500","213,995.8900","82,001.5000","722,587.4600",建筑业
002324.SZ,普利特,,0.0000,"17,160.0000","5,957.9100",,,,,,,制造业
002325.SZ,洪涛股份,,"6,884,722.2000","6,093,259.1600","6,126,056.0000","25,884,834.2800","58,598,119.2800","41,977,255.4800","37,186,123.7700","28,058,849.4200","18,046,010.1100",建筑业
002326.SZ,永太科技,,"749,923.3100","1,469,671.2500","1,631,592.5200","856,161.4700","1,962,899.3800","13,980,479.2600","29,181,029.4500","23,601,294.6900","22,060,663.4400",制造业
002327.SZ,富安娜,,"58,136,936.1700","42,276,401.8900","50,786,156.8000","47,686,604.5200","50,134,339.9500","66,316,999.3100","78,614,932.2700","98,701,745.3700","112,819,316.3200",制造业
002328.SZ,新朋股份,,,,,,,,,,,制造业
002329.SZ,皇氏集团,,"44,585,506.0200","46,828,686.9600","47,869,315.5600","73,277,606.8000","49,464,095.4400","55,513,159.2200","50,841,057.3200","36,625,103.7000","45,839,167.9200",制造业
002330.SZ,得利斯,,"4,785,590.7200","5,385,742.0100",,,,,,,,制造业
002331.SZ,皖通科技,,,,"90,000.0000","197,184.1300","326,068.7900","937,371.7400","749,625.1800","581,994.9900","502,601.5700",信息传输、软件和信息技术服务业
002332.SZ,仙琚制药,,"209,969,790.3400","241,844,270.7200","323,592,364.4800","367,096,595.8000","466,939,630.0300","613,713,878.5200","842,342,076.1300","811,455,098.9300","864,559,940.6800",制造业
002333.SZ,ST罗普,,"5,436,100.0000","5,788,906.7100","4,679,910.9100","6,857,629.8900","6,244,341.7200","6,460,755.5200","6,762,453.3700","6,167,325.3500","896,260.2600",制造业
002334.SZ,英威腾,,"8,713,268.9800","9,420,284.7800","12,775,536.0300","10,477,012.7700","16,342,704.7900","15,311,080.7400","14,220,436.0500","17,436,633.3200","14,747,719.0100",制造业
002335.SZ,科华数据,,,,"5,631,096.1100","9,495,984.9100","6,750,909.4800","5,164,504.6600","6,627,345.9800","9,978,622.5300","12,572,633.7800",制造业
002336.SZ,ST人乐,,,,,,,"67,873,069.8600",,,,批发和零售业
002337.SZ,赛象科技,,,,,,,,,,,制造业
002338.SZ,奥普光电,,,,"992,073.6300","1,393,981.1400","1,330,764.5900","1,892,780.1600","1,200,186.2600","876,674.1000","623,024.7500",制造业
002339.SZ,积成电子,,"794,558.6500","508,096.1100","1,835,074.3800","1,295,137.9500","1,308,353.6900","2,618,917.3900",,"1,912,030.7600","2,559,999.9000",制造业
002340.SZ,格林美,,"1,604,221.3700","1,029,040.4000","3,986,775.5900","7,515,353.3200","3,118,219.9100","2,610,961.6400","947,336.3800","1,624,527.1900","662,133.7900",制造业
002341.SZ,新纶科技,,"2,635,716.2000","3,437,431.0700","4,171,963.0100","3,914,662.5300","3,837,978.5200","5,475,773.1500","3,987,146.1300","3,924,191.0200","6,706,186.5100",制造业
002342.SZ,巨力索具,,"1,592,312.3700","1,410,243.6600","3,022,693.6200","2,037,963.5100","4,118,321.8800","3,877,919.7600","1,962,503.7100","1,788,170.0800","39,534.4900",制造业
002343.SZ,慈文传媒,,"1,243,424.6100","1,250,903.1300","1,463,145.2200",,,,,,,文化、体育和娱乐业
002344.SZ,海宁皮城,,"74,629,660.0200","81,354,695.2000","96,699,064.9100","93,437,561.6100","113,666,480.0600","106,429,357.9500","76,476,991.4400","61,158,665.2300","53,158,341.9900",租赁和商务服务业
002345.SZ,潮宏基,,"21,649,830.1300","26,214,810.0100","41,473,477.7000","55,612,719.0200","62,449,545.9600","67,644,786.9500","70,907,778.3800","92,070,705.6800","107,975,868.7700",制造业
002346.SZ,柘中股份,,,,,"80,000.0000","3,300.0000",0.0000,,,,制造业
002347.SZ,泰尔股份,,"4,558,085.8000","3,073,358.9600","2,586,570.3200","3,899,689.9200","1,867,908.5000","1,258,952.1400","2,247,849.5500","2,357,092.2600","1,294,904.4600",制造业
002348.SZ,高乐股份,,"436,368.6500","868,771.6000","4,281,454.2600","4,079,667.8500","1,172,321.4900","2,462,761.7100","4,648,904.8200",,"6,971,175.2500",制造业
002349.SZ,精华制药,,"34,481,914.0700","27,719,938.9200","50,136,528.1700","61,182,846.5700","67,330,723.2700","55,909,042.4000","63,284,915.7400","58,644,661.2000","93,343,358.6400",制造业
002350.SZ,北京科锐,,"6,811,412.6800","7,778,855.0000","11,743,869.6200","12,305,385.9100","14,902,289.9100","19,441,920.8500","9,894,079.8400","10,157,646.8500","2,579,970.1000",制造业
002351.SZ,漫步者,,"20,533,194.3500","20,359,542.4500","15,322,593.2600","12,725,075.1900","26,301,604.4100","30,018,957.6500","34,224,265.9000","35,498,615.5000","53,622,154.5600",制造业
002352.SZ,顺丰控股,,,,,,"111,282,313.4300","172,630,596.7800","298,133,295.0800","276,716,291.7000","207,323,812.2500",交通运输、仓储和邮政业
002353.SZ,杰瑞股份,,"10,682,556.7300","13,382,479.1100","20,330,776.3400","18,919,550.3000","8,478,062.1700","14,214,471.8000","10,221,202.1300","10,522,031.5500","7,452,323.3500",制造业
002354.SZ,*ST天娱,,"430,657.2600","471,610.1900",,,,,"252,191,626.8100","147,788,086.6800","194,015,962.4300",信息传输、软件和信息技术服务业
002355.SZ,兴民智通,,"660,150.7200","648,661.0800","1,778,393.7700","1,564,103.1100","1,598,690.0000","2,954,942.9600","1,879,600.9300",,"401,490.4100",制造业
002356.SZ,*ST赫美,,"621,817.8300","328,319.2600","1,740,420.9100","19,280,961.0700","16,910,183.4500","23,606,774.0200","18,791,316.9800",,"862,119.5900",批发和零售业
002357.SZ,富临运业,,,,,,,,,,,交通运输、仓储和邮政业
002358.SZ,ST森源,,"887,710.2700","763,598.4900","3,049,609.5700","5,427,330.3000","1,923,315.0500","1,798,516.4000","1,056,179.8600","800,226.8100","924,103.8600",制造业
002359.SZ,*ST北讯,,,,,,,"13,871,964.0100","1,584,396.5600",789.3200,,信息传输、软件和信息技术服务业
002360.SZ,同德化工,,"3,393,795.5000","2,911,463.8900","1,594,937.3400","1,257,351.1300","1,326,895.4600","1,585,908.4400","496,984.2300","704,932.5800","591,298.1000",制造业
002361.SZ,神剑股份,,,,,,,,,,,制造业
002362.SZ,汉王科技,,,"14,239,392.9900","9,701,101.5800","9,524,746.5200","3,090,786.3200","4,609,358.5100","5,181,363.6000","19,784,546.1400","70,539,480.4100",制造业
002363.SZ,隆基机械,,"3,473,715.0300","5,105,887.5400","4,755,619.8000","2,983,044.4900","2,531,997.3100","4,098,624.3200","3,908,195.4200","4,261,376.3100","2,138,064.5400",制造业
002364.SZ,中恒电气,,,,,,,,,,,制造业
002365.SZ,永安药业,,"2,814,624.4300","2,654,598.6700","6,117,916.0800","14,531,225.7000","10,902,956.8900","11,186,087.8400","9,264,157.6100",,,制造业
002366.SZ,台海核电,,,,,,"529,684.3900","454,702.4100","217,808.7100","236,540.4200","4,500.0000",制造业
002367.SZ,康力电梯,,"8,985,127.7600","6,660,192.3200","10,874,961.1500","14,238,890.8300","14,540,040.2700","13,309,672.5800","12,276,530.0900","7,632,303.4100","6,059,362.9700",制造业
002368.SZ,太极股份,,0.0000,,"644,556.7600",,,,,,,信息传输、软件和信息技术服务业
002369.SZ,卓翼科技,,"3,758,652.6200","4,914,343.5400","10,728,242.5700","13,167,320.0700","12,816,138.0200","4,413,518.1000","2,861,818.6800",,,制造业
002370.SZ,亚太药业,,"2,891,141.8700","1,868,824.6800","1,773,250.7400","1,068,987.5400","1,548,247.4200","64,458,272.3500","85,657,678.7900","111,549,880.9600","178,816,893.9900",制造业
002371.SZ,北方华创,,"3,222,308.2100","1,958,424.6400","1,192,544.5200","1,136,884.4100","6,775,504.5800","5,751,488.7800","6,282,090.8200","7,947,426.9900","8,311,009.2600",制造业
002372.SZ,伟星新材,,"39,352,540.9000","54,872,073.1400","59,603,316.8400","72,917,524.3800","98,133,559.8500","107,018,834.8800","91,568,595.8000","65,272,713.9400","90,528,317.1700",制造业
002373.SZ,千方科技,,,,,,,,"60,560,313.2800","95,832,397.7400","114,309,150.8600",信息传输、软件和信息技术服务业
002374.SZ,中锐股份,,"864,770.0000","876,772.2800","823,160.0600","786,849.4400","1,357,934.7100","849,420.1500","63,202.6300","424,252.3600",,建筑业
002375.SZ,亚厦股份,,"2,064,655.8500",,,,,,,,,建筑业
002376.SZ,新北洋,,"3,882,574.7800","4,551,252.1900","4,089,598.3400","8,005,595.6200","8,679,837.2900","17,073,032.0400","14,740,701.4800","13,490,132.9600","6,131,960.4100",制造业
002377.SZ,国创高新,,,,,,,"5,616,830.6200","459,015.1800","440,986.9700","117,000.0000",房地产业
002378.SZ,章源钨业,,"3,646,318.1700","4,089,253.1200","4,883,957.2100","3,306,564.5200","2,677,397.0200","2,706,786.4500","3,623,939.4700","5,114,991.8900","734,249.4800",制造业
002379.SZ,宏创控股,,"963,437.9900","743,969.2500","472,027.3700",0.0000,,,,,,制造业
002380.SZ,科远智慧,,"337,563.0000","456,591.5000","456,787.6800","398,056.2100","470,605.6500","465,195.3900","452,511.0800","245,938.5700","595,380.6500",信息传输、软件和信息技术服务业
002381.SZ,双箭股份,,"1,017,780.3600","1,384,117.3600","478,790.7400","483,719.6900","2,282,716.7900","1,317,547.8000","685,162.9500","757,580.2800","760,609.6500",制造业
002382.SZ,蓝帆医疗,,"1,870,525.0100","2,010,827.1200","1,357,045.8400","2,184,470.5700","1,803,161.9900","10,043,705.5900","146,057,782.6500","223,096,702.9100","135,972,873.6600",制造业
002383.SZ,合众思壮,,"13,482,476.0800","25,476,157.8800","9,589,678.9800","9,845,947.4500","14,498,381.2800","24,914,674.9900","24,928,125.2900",,"44,185,148.2300",制造业
002384.SZ,东山精密,,,,,,,,,,,制造业
002385.SZ,大北农,,,"7,437,480.6600",,,"4,989,304.9500","4,573,312.9700",,,,制造业
002386.SZ,天原股份,,,,,,,,,,,制造业
002387.SZ,维信诺,,"26,189,214.3300","22,263,192.2800","11,024,695.0800","25,283,488.1000","2,177,610.2100","10,122,308.9700","24,304,311.5400","4,771,309.8700","7,078,818.4300",制造业
002388.SZ,新亚制程,,"2,296,352.3500","1,460,002.8400","920,614.0500","189,536.0500","1,365,886.1000","1,050,829.9600","4,108,424.2800","3,662,555.3000",,制造业
002389.SZ,航天彩虹,,,,"611,092.1500","1,183,070.8900","2,266,462.0500","92,128.9100","1,053,007.5400","1,587,434.4700","6,221,678.9700",制造业
002390.SZ,信邦制药,,"90,645,316.9900","106,469,616.3200","6,247,794.5200","7,594,111.5700","3,804,307.5300","6,648,451.2000","7,703,142.4700",,,制造业
002391.SZ,长青股份,,"2,474,640.8000","3,525,942.7300","3,846,297.9300","3,340,703.9200","3,435,879.3000","3,559,757.1500","3,402,180.4700","4,089,082.0700","3,329,053.4400",制造业
